Routine,C (baseline),RS (normalized),Py (normalized),"C (raw, us)","RS (raw, us)","Py (raw, us)"
shmem_barrier_all,1.0,9.8168544607,16.1909651685,0.8900000000,8.7370004700,14.4099590000
shmem_atomic_fetch,1.0,1.3368421579,21.0209921053,0.3800000000,0.5080000200,7.9879770000
shmem_atomic_add,1.0,0.4772727045,26.9690022727,0.4400000000,0.2099999900,11.8663610000
shmem_atomic_compare_swap,1.0,1.1139999600,16.0395920000,0.5000000000,0.5569999800,8.0197960000
shmem_atomic_inc,1.0,1.0789473684,57.4183789474,0.1900000000,0.2050000000,10.9094920000
